02-28 11:16,4000,3999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,8000,7999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,12000,11999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,16000,15999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,20000,19999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,24000,23999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,28000,27999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,32000,31999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,36000,35999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,40000,39999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,44000,43999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,48000,47999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,52000,51999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,56000,55999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,60000,59999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,64000,63999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,68000,67999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,72000,71999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,76000,75999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,80000,79999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,84000,83999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,88000,87999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,92000,91999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,96000,95999,insertion,data/sorted_v0.txt,SORTED,100
02-28 11:16,100000,99999,insertion,data/sorted_v0.txt,SORTED,100
